NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,293835,1502004,Cachoeira do Arari - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1640809,1502103,Cametá - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,16061773,1502152,Canaã dos Carajás - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1598656,1502202,Capanema - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,691741,1502301,Capitão Poço - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,5688912,1502400,Castanhal - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,293848,1502509,Chaves - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,120635,1502608,Colares - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,765892,1502707,Conceição do Araguaia - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,452741,1502756,Concórdia do Pará - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,431268,1502764,Cumaru do Norte - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1503197,1502772,Curionópolis - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,328648,1502806,Curralinho - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,171989,1502855,Curuá - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,443371,1502905,Curuçá - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1261538,1502939,Dom Eliseu - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,605964,1502954,Eldorado do Carajás - PA,37,Produto Interno Bruto a preços correntes,2022,2022
